Age,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
31,0.002550,0.002457,0.002321,0.002490,0.002378,0.002349,0.002189,0.002085,0.002123,0.002052,0.001920,0.002267,0.002156,0.002401,0.002168,0.002187,0.002055,0.002239,0.002451,0.002344,0.002492,0.002195,0.002386,0.002141,0.002163,0.002441,0.002201,0.002227,0.002217,0.002285,0.002273,0.002373,0.002602,0.002446,0.002203,0.002164,0.002015,0.002164,0.001958,0.001982,0.001960,0.001866,0.001634,0.001667,0.001515,0.001476,0.001541,0.001457,0.001457,0.001419,0.001492,0.001475,0.001324,0.001313,0.001253,0.001200,0.001341,0.001233,0.001297,0.001302,0.001420
32,0.002486,0.002544,0.002414,0.002561,0.002691,0.002362,0.002261,0.002291,0.002121,0.002206,0.002274,0.002309,0.002073,0.002273,0.002182,0.002260,0.002273,0.002351,0.002515,0.002608,0.002648,0.002358,0.002678,0.002294,0.002218,0.002477,0.002488,0.002425,0.002315,0.002252,0.002491,0.002338,0.002574,0.002724,0.002587,0.002194,0.002452,0.002266,0.002033,0.002128,0.002008,0.001916,0.001919,0.001732,0.001853,0.001676,0.001646,0.001579,0.001437,0.001688,0.001659,0.001533,0.001483,0.001495,0.001352,0.001336,0.001307,0.001353,0.001380,0.001432,0.001422
33,0.002740,0.002571,0.002541,0.002496,0.002612,0.002524,0.002364,0.002344,0.002385,0.002522,0.002462,0.002412,0.002317,0.002302,0.002551,0.002495,0.002342,0.002413,0.002683,0.002935,0.002837,0.002818,0.002753,0.002341,0.002347,0.002451,0.002467,0.002668,0.002581,0.002486,0.002477,0.002605,0.002700,0.002775,0.002714,0.002486,0.002526,0.002521,0.002161,0.002232,0.002076,0.002273,0.001892,0.001915,0.001915,0.001798,0.001857,0.001836,0.001667,0.001906,0.001636,0.001636,0.001551,0.001514,0.001479,0.001544,0.001239,0.001371,0.001441,0.001382,0.001397
34,0.002829,0.002667,0.002673,0.002935,0.002716,0.002561,0.002498,0.002383,0.002359,0.002630,0.002393,0.002543,0.002410,0.002724,0.002453,0.002444,0.002532,0.002591,0.002870,0.002902,0.003179,0.003352,0.003112,0.002652,0.002449,0.002741,0.002848,0.002812,0.002811,0.002642,0.002512,0.002805,0.003194,0.003070,0.003057,0.002700,0.002786,0.002639,0.002572,0.002571,0.002417,0.002499,0.002161,0.001979,0.002035,0.002059,0.002013,0.001889,0.001797,0.001856,0.002079,0.001808,0.001789,0.001721,0.001680,0.001406,0.001488,0.001555,0.001550,0.001679,0.001634
35,0.002748,0.002864,0.002825,0.002785,0.003003,0.002763,0.002736,0.002477,0.002542,0.002642,0.002458,0.002613,0.002599,0.002903,0.002696,0.002952,0.002608,0.003022,0.003039,0.003032,0.002858,0.003447,0.003462,0.002659,0.002888,0.002621,0.002951,0.003105,0.002877,0.002958,0.002890,0.003126,0.003257,0.003421,0.003379,0.003025,0.003106,0.003091,0.002835,0.002724,0.002652,0.002675,0.002384,0.002158,0.001976,0.002247,0.002317,0.002154,0.002170,0.002051,0.002094,0.002144,0.001892,0.001926,0.001770,0.001652,0.001697,0.001653,0.001664,0.001691,0.001738
36,0.002755,0.002938,0.002816,0.002574,0.002924,0.002952,0.002520,0.003025,0.002838,0.002744,0.002883,0.002941,0.002921,0.003108,0.002805,0.002903,0.002855,0.002835,0.003264,0.003227,0.003416,0.003589,0.003641,0.002975,0.002833,0.002895,0.003053,0.003328,0.003183,0.003095,0.003132,0.003322,0.003434,0.003723,0.003614,0.003058,0.003229,0.003423,0.002852,0.002987,0.002965,0.002571,0.002710,0.002302,0.002413,0.002357,0.002327,0.002398,0.002429,0.002197,0.002171,0.001969,0.002001,0.002062,0.001836,0.001786,0.001808,0.001897,0.001784,0.001752,0.001728
37,0.002860,0.003108,0.002895,0.002716,0.003077,0.003206,0.002694,0.002842,0.003004,0.003147,0.003078,0.003001,0.003002,0.003188,0.003174,0.003090,0.002928,0.003177,0.003549,0.003434,0.003505,0.003690,0.003688,0.003368,0.003095,0.003357,0.003378,0.003377,0.003507,0.003501,0.003517,0.003678,0.003836,0.004044,0.003633,0.003580,0.003554,0.003617,0.003398,0.003304,0.003188,0.003268,0.002909,0.002822,0.002525,0.002559,0.002658,0.002683,0.002801,0.002434,0.002532,0.002393,0.002203,0.002364,0.002212,0.001987,0.001865,0.001954,0.002006,0.001944,0.001843
38,0.003378,0.003395,0.003113,0.003164,0.003381,0.003341,0.003163,0.003149,0.003258,0.003114,0.003068,0.003048,0.003147,0.003207,0.003310,0.003557,0.003071,0.003447,0.003808,0.004009,0.003913,0.003743,0.004152,0.003631,0.003902,0.003503,0.003882,0.003748,0.003614,0.003657,0.003548,0.003996,0.004205,0.004345,0.004158,0.003974,0.003819,0.003797,0.003629,0.003701,0.003701,0.003463,0.003261,0.002948,0.002794,0.002718,0.002845,0.002883,0.002727,0.002879,0.002795,0.002615,0.002509,0.002562,0.002444,0.002314,0.002177,0.002120,0.002134,0.001975,0.002198
39,0.003222,0.003702,0.002917,0.003382,0.003224,0.003170,0.003283,0.003311,0.003384,0.003623,0.003620,0.003660,0.003562,0.003744,0.003443,0.003358,0.003464,0.003870,0.004008,0.004419,0.004480,0.003951,0.004500,0.004018,0.003682,0.004060,0.004257,0.004317,0.004151,0.004124,0.004099,0.004530,0.004727,0.005174,0.004634,0.004231,0.004433,0.004580,0.003991,0.004269,0.004107,0.003947,0.003475,0.003410,0.003078,0.003105,0.003061,0.003172,0.003111,0.003404,0.003012,0.003113,0.002796,0.002622,0.002723,0.002466,0.002205,0.002236,0.002148,0.002261,0.002498
40,0.003584,0.003676,0.003906,0.003302,0.003412,0.003506,0.003470,0.003350,0.003810,0.003489,0.003754,0.003960,0.003804,0.004114,0.003589,0.003788,0.003846,0.003913,0.004219,0.004600,0.004710,0.004333,0.005101,0.004437,0.004253,0.004461,0.005010,0.004583,0.004489,0.004390,0.004413,0.004696,0.004950,0.005102,0.005515,0.004513,0.004608,0.004891,0.004460,0.004442,0.004307,0.004558,0.003796,0.003423,0.003477,0.003576,0.003267,0.003480,0.003664,0.003646,0.003462,0.003191,0.003046,0.003017,0.002985,0.002820,0.002534,0.002361,0.002384,0.002387,0.002705
